gene	Start	End	gene	Start	End
HD	160000000	170000000	HJ	50000000	60000000
HV	890000000	900000000	HD	130000000	140000000
HD	130000000	140000000	HJ	30000000	40000000
HV	900000000	910000000	HD	30000000	40000000
HD	30000000	40000000	HJ	40000000	50000000
HV	0	10000000	HD	30000000	40000000
HD	30000000	40000000	HJ	30000000	40000000
HV	360000000	370000000	HD	130000000	140000000
HD	130000000	140000000	HJ	30000000	40000000
HV	290000000	300000000	HD	150000000	160000000
HD	150000000	160000000	HJ	30000000	40000000
HV	670000000	680000000	HD	330000000	340000000
HD	330000000	340000000	HJ	40000000	50000000
HV	970000000	980000000	HD	30000000	40000000
HD	30000000	40000000	HJ	30000000	40000000
HV	480000000	490000000	HD	30000000	40000000
HD	30000000	40000000	HJ	30000000	40000000
HV	90000000	100000000	HD	150000000	160000000
HD	150000000	160000000	HJ	30000000	40000000
HV	710000000	720000000	HD	320000000	330000000
HD	320000000	330000000	HJ	30000000	40000000
HV	900000000	910000000	HD	330000000	340000000
HD	330000000	340000000	HJ	20000000	30000000
HV	880000000	890000000	HD	150000000	160000000
HD	150000000	160000000	HJ	30000000	40000000
HV	900000000	910000000	HD	210000000	220000000
HD	210000000	220000000	HJ	30000000	40000000
HV	350000000	360000000	HD	170000000	180000000
HD	170000000	180000000	HJ	30000000	40000000
HV	360000000	370000000	HD	150000000	160000000
HD	150000000	160000000	HJ	30000000	40000000
HV	90000000	100000000	HD	130000000	140000000
HD	130000000	140000000	HJ	30000000	40000000
HV	560000000	570000000	HD	160000000	170000000
HD	160000000	170000000	HJ	30000000	40000000
HV	930000000	940000000	HD	210000000	220000000
HD	210000000	220000000	HJ	30000000	40000000
HV	0	10000000	HD	70000000	80000000
HD	70000000	80000000	HJ	20000000	30000000
HV	360000000	370000000	HD	30000000	40000000
HD	30000000	40000000	HJ	30000000	40000000
HV	330000000	340000000	HD	30000000	40000000
HD	30000000	40000000	HJ	30000000	40000000
HV	650000000	660000000	HD	330000000	340000000
HD	330000000	340000000	HJ	30000000	40000000
HV	670000000	680000000	HD	130000000	140000000
HD	130000000	140000000	HJ	50000000	60000000
HV	10000000	20000000	HD	160000000	170000000
HD	160000000	170000000	HJ	30000000	40000000
HV	670000000	680000000	HD	220000000	230000000
HD	220000000	230000000	HJ	30000000	40000000
HV	880000000	890000000	HD	140000000	150000000
HD	140000000	150000000	HJ	40000000	50000000
KV	80000000	90000000	KJ	0	10000000
KV	580000000	590000000	KJ	0	10000000
KV	660000000	670000000	KJ	0	10000000
KV	570000000	580000000	KJ	30000000	40000000
KV	590000000	600000000	KJ	0	10000000
KV	580000000	590000000	KJ	30000000	40000000
KV	580000000	590000000	KJ	10000000	20000000
KV	570000000	580000000	KJ	0	10000000
KV	660000000	670000000	KJ	30000000	40000000
KV	660000000	670000000	KJ	10000000	20000000
KV	590000000	600000000	KJ	10000000	20000000
KV	80000000	90000000	KJ	10000000	20000000
KV	570000000	580000000	KJ	10000000	20000000
KV	590000000	600000000	KJ	30000000	40000000
KV	70000000	80000000	KJ	0	10000000
KV	370000000	380000000	KJ	0	10000000
KV	570000000	580000000	KJ	20000000	30000000
KV	80000000	90000000	KJ	30000000	40000000
KV	570000000	580000000	KJ	40000000	50000000
KV	580000000	590000000	KJ	20000000	30000000
KV	580000000	590000000	KJ	40000000	50000000
KV	590000000	600000000	KJ	20000000	30000000
KV	70000000	80000000	KJ	30000000	40000000
KV	70000000	80000000	KJ	10000000	20000000
KV	370000000	380000000	KJ	10000000	20000000
KV	370000000	380000000	KJ	30000000	40000000
KV	660000000	670000000	KJ	20000000	30000000
KV	110000000	120000000	KJ	30000000	40000000
KV	590000000	600000000	KJ	40000000	50000000
KV	80000000	90000000	KJ	20000000	30000000
KV	110000000	120000000	KJ	0	10000000
KV	70000000	80000000	KJ	20000000	30000000
KV	660000000	670000000	KJ	40000000	50000000
KV	370000000	380000000	KJ	20000000	30000000
KV	110000000	120000000	KJ	20000000	30000000
KV	80000000	90000000	KJ	40000000	50000000
KV	630000000	640000000	KJ	0	10000000
KV	640000000	650000000	KJ	30000000	40000000
KV	50000000	60000000	KJ	30000000	40000000
KV	350000000	360000000	KJ	30000000	40000000
KV	110000000	120000000	KJ	10000000	20000000
KV	70000000	80000000	KJ	40000000	50000000
KV	370000000	380000000	KJ	40000000	50000000
KV	630000000	640000000	KJ	30000000	40000000
KV	450000000	460000000	KJ	0	10000000
KV	640000000	650000000	KJ	0	10000000
KV	110000000	120000000	KJ	40000000	50000000
KV	450000000	460000000	KJ	10000000	20000000
KV	430000000	440000000	KJ	0	10000000
KV	530000000	540000000	KJ	0	10000000
KV	30000000	40000000	KJ	0	10000000
KV	40000000	50000000	KJ	0	10000000
KV	430000000	440000000	KJ	10000000	20000000
KV	530000000	540000000	KJ	10000000	20000000
KV	630000000	640000000	KJ	10000000	20000000
KV	50000000	60000000	KJ	20000000	30000000
KV	350000000	360000000	KJ	20000000	30000000
KV	20000000	30000000	KJ	30000000	40000000
KV	50000000	60000000	KJ	10000000	20000000
KV	350000000	360000000	KJ	10000000	20000000
KV	430000000	440000000	KJ	30000000	40000000
KV	530000000	540000000	KJ	30000000	40000000
KV	640000000	650000000	KJ	40000000	50000000
KV	640000000	650000000	KJ	10000000	20000000
KV	20000000	30000000	KJ	0	10000000
KV	0	10000000	KJ	30000000	40000000
KV	90000000	100000000	KJ	0	10000000
KV	40000000	50000000	KJ	30000000	40000000
KV	100000000	110000000	KJ	0	10000000
KV	0	10000000	KJ	0	10000000
KV	430000000	440000000	KJ	20000000	30000000
KV	530000000	540000000	KJ	20000000	30000000
KV	640000000	650000000	KJ	20000000	30000000
KV	50000000	60000000	KJ	0	10000000
KV	350000000	360000000	KJ	0	10000000
KV	310000000	320000000	KJ	30000000	40000000
KV	30000000	40000000	KJ	30000000	40000000
KV	450000000	460000000	KJ	30000000	40000000
KV	20000000	30000000	KJ	10000000	20000000
KV	630000000	640000000	KJ	40000000	50000000
KV	40000000	50000000	KJ	20000000	30000000
KV	630000000	640000000	KJ	20000000	30000000
KV	30000000	40000000	KJ	10000000	20000000
KV	100000000	110000000	KJ	30000000	40000000
KV	430000000	440000000	KJ	40000000	50000000
KV	530000000	540000000	KJ	40000000	50000000
KV	50000000	60000000	KJ	40000000	50000000
KV	350000000	360000000	KJ	40000000	50000000
KV	120000000	130000000	KJ	0	10000000
KV	20000000	30000000	KJ	40000000	50000000
KV	20000000	30000000	KJ	20000000	30000000
KV	310000000	320000000	KJ	0	10000000
KV	90000000	100000000	KJ	30000000	40000000
KV	0	10000000	KJ	10000000	20000000
KV	100000000	110000000	KJ	10000000	20000000
KV	450000000	460000000	KJ	40000000	50000000
KV	40000000	50000000	KJ	10000000	20000000
KV	0	10000000	KJ	20000000	30000000
KV	90000000	100000000	KJ	10000000	20000000
KV	310000000	320000000	KJ	10000000	20000000
KV	450000000	460000000	KJ	20000000	30000000
KV	400000000	410000000	KJ	0	10000000
KV	320000000	330000000	KJ	30000000	40000000
KV	540000000	550000000	KJ	0	10000000
KV	310000000	320000000	KJ	40000000	50000000
KV	310000000	320000000	KJ	20000000	30000000
KV	100000000	110000000	KJ	20000000	30000000
KV	540000000	550000000	KJ	30000000	40000000
KV	120000000	130000000	KJ	10000000	20000000
KV	0	10000000	KJ	40000000	50000000
KV	540000000	550000000	KJ	10000000	20000000
KV	120000000	130000000	KJ	30000000	40000000
KV	30000000	40000000	KJ	20000000	30000000
KV	330000000	340000000	KJ	0	10000000
KV	40000000	50000000	KJ	40000000	50000000
KV	320000000	330000000	KJ	0	10000000
KV	620000000	630000000	KJ	30000000	40000000
KV	400000000	410000000	KJ	30000000	40000000
KV	540000000	550000000	KJ	40000000	50000000
LV	110000000	120000000	LJ	20000000	30000000
LV	110000000	120000000	LJ	0	10000000
LV	100000000	110000000	LJ	20000000	30000000
LV	130000000	140000000	LJ	20000000	30000000
LV	110000000	120000000	LJ	10000000	20000000
LV	170000000	180000000	LJ	20000000	30000000
LV	190000000	200000000	LJ	20000000	30000000
LV	10000000	20000000	LJ	20000000	30000000
LV	250000000	260000000	LJ	20000000	30000000
LV	270000000	280000000	LJ	20000000	30000000
LV	30000000	40000000	LJ	20000000	30000000
LV	100000000	110000000	LJ	0	10000000
LV	170000000	180000000	LJ	0	10000000
LV	40000000	50000000	LJ	20000000	30000000
LV	130000000	140000000	LJ	0	10000000
LV	190000000	200000000	LJ	10000000	20000000
LV	400000000	410000000	LJ	20000000	30000000
LV	10000000	20000000	LJ	0	10000000
LV	200000000	210000000	LJ	20000000	30000000
LV	420000000	430000000	LJ	20000000	30000000
LV	190000000	200000000	LJ	0	10000000
LV	410000000	420000000	LJ	20000000	30000000
LV	170000000	180000000	LJ	10000000	20000000
LV	60000000	70000000	LJ	20000000	30000000
LV	100000000	110000000	LJ	10000000	20000000
LV	130000000	140000000	LJ	10000000	20000000
LV	430000000	440000000	LJ	20000000	30000000
LV	340000000	350000000	LJ	20000000	30000000
LV	240000000	250000000	LJ	20000000	30000000
LV	250000000	260000000	LJ	10000000	20000000
LV	250000000	260000000	LJ	0	10000000
LV	10000000	20000000	LJ	10000000	20000000
LV	270000000	280000000	LJ	10000000	20000000
LV	30000000	40000000	LJ	0	10000000
LV	40000000	50000000	LJ	0	10000000
LV	270000000	280000000	LJ	0	10000000
LV	120000000	130000000	LJ	20000000	30000000
LV	30000000	40000000	LJ	10000000	20000000
LV	280000000	290000000	LJ	20000000	30000000
LV	40000000	50000000	LJ	10000000	20000000
LV	400000000	410000000	LJ	10000000	20000000
LV	60000000	70000000	LJ	0	10000000
LV	240000000	250000000	LJ	10000000	20000000
LV	310000000	320000000	LJ	20000000	30000000
LV	240000000	250000000	LJ	0	10000000
LV	80000000	90000000	LJ	20000000	30000000
LV	120000000	130000000	LJ	0	10000000
LV	60000000	70000000	LJ	10000000	20000000
LV	200000000	210000000	LJ	10000000	20000000
LV	420000000	430000000	LJ	10000000	20000000
LV	340000000	350000000	LJ	10000000	20000000
LV	200000000	210000000	LJ	0	10000000
LV	0	10000000	LJ	20000000	30000000
LV	120000000	130000000	LJ	10000000	20000000
LV	410000000	420000000	LJ	10000000	20000000
LV	310000000	320000000	LJ	10000000	20000000
LV	230000000	240000000	LJ	20000000	30000000
LV	370000000	380000000	LJ	20000000	30000000
LV	420000000	430000000	LJ	0	10000000
LV	450000000	460000000	LJ	20000000	30000000
LV	330000000	340000000	LJ	20000000	30000000
LV	410000000	420000000	LJ	0	10000000
LV	50000000	60000000	LJ	20000000	30000000
LV	280000000	290000000	LJ	10000000	20000000
LV	400000000	410000000	LJ	0	10000000
LV	310000000	320000000	LJ	0	10000000
LV	430000000	440000000	LJ	10000000	20000000
LV	340000000	350000000	LJ	0	10000000
LV	0	10000000	LJ	0	10000000
LV	350000000	360000000	LJ	20000000	30000000
LV	430000000	440000000	LJ	0	10000000
