gene	Start	End	isotype	average
HD	40000000	50000000	IGHD1-7	4.076699629867376
HD	0	10000000	IGHD1-1	3.970307690787223
HD	270000000	280000000	IGHD5-18	3.955588668961885
HD	290000000	300000000	IGHD5-5	3.9205727699997173
HD	180000000	190000000	IGHD3/OR15-3a	3.719414525861121
HD	110000000	120000000	IGHD2/OR15-2a	3.711722184402884
HD	120000000	130000000	IGHD2/OR15-2b	3.6690551706281895
HD	190000000	200000000	IGHD3/OR15-3b	3.6066653363409484
HD	10000000	20000000	IGHD1-14	3.5878198178372775
HD	20000000	30000000	IGHD1-20	3.3640941723162565
HD	200000000	210000000	IGHD4-11	3.3013881091453796
HD	230000000	240000000	IGHD4-4	3.2300019126887505
HD	300000000	310000000	IGHD5/OR15-5a	3.054923036953259
HD	310000000	320000000	IGHD5/OR15-5b	2.9971897972427213
HD	50000000	60000000	IGHD1/OR15-1a	2.726795243627171
HD	240000000	250000000	IGHD4/OR15-4a	2.6372250129819266
HD	60000000	70000000	IGHD1/OR15-1b	2.633231004308997
HD	250000000	260000000	IGHD4/OR15-4b	2.5985051670677506
HJ	30000000	40000000	IGHJ4	9.003639414746877
HJ	50000000	60000000	IGHJ6	7.445041118857326
HJ	40000000	50000000	IGHJ5	7.339098024437684
HJ	20000000	30000000	IGHJ3	6.753134199819487
HJ	10000000	20000000	IGHJ2	4.576175963516183
HJ	0	10000000	IGHJ1	4.4484772662523335
KV	580000000	590000000	IGKV3-15	7.009581300804319
KV	570000000	580000000	IGKV3-11	6.922809152742672
KV	660000000	670000000	IGKV4-1	6.817272366191321
KV	80000000	90000000	IGKV1-5	6.745652298461667
KV	590000000	600000000	IGKV3-20	6.670447574684681
KV	70000000	80000000	IGKV1-39	5.966184204866281
KV	370000000	380000000	IGKV1D-39	5.949415064218617
KV	110000000	120000000	IGKV1-9	5.352952819180185
KV	640000000	650000000	IGKV3D-20	4.54603019365752
KV	630000000	640000000	IGKV3D-15	4.528416884274242
KV	50000000	60000000	IGKV1-33	4.368670732978287
KV	350000000	360000000	IGKV1D-33	4.368670732978287
KV	530000000	540000000	IGKV2D-28	4.344822255203061
KV	430000000	440000000	IGKV2-28	4.344822255203061
KV	450000000	460000000	IGKV2-30	4.186082702404972
KV	20000000	30000000	IGKV1-16	3.951955714220659
KV	40000000	50000000	IGKV1-27	3.8491914173139037
KV	30000000	40000000	IGKV1-17	3.7466518074752146
KV	0	10000000	IGKV1-12	3.69486045463881
KV	100000000	110000000	IGKV1-8	3.4386666541894
KV	310000000	320000000	IGKV1D-12	3.403095270932852
KV	90000000	100000000	IGKV1-6	3.2829606184352476
KV	540000000	550000000	IGKV2D-29	2.892479577241098
KV	120000000	130000000	IGKV1-NL1	2.7614332690566514
KV	320000000	330000000	IGKV1D-13	2.676273658698905
KV	400000000	410000000	IGKV1D-8	2.466401105118915
KV	620000000	630000000	IGKV3D-11	2.2477053127002486
KV	330000000	340000000	IGKV1D-16	2.2072872655260727
KV	10000000	20000000	IGKV1-13	2.1449497417291536
KV	440000000	450000000	IGKV2-29	1.732534008617601
KV	420000000	430000000	IGKV2-24	1.6096745083568635
KV	690000000	700000000	IGKV6D-21	1.3677768862929207
KV	680000000	690000000	IGKV6-21	1.2626133843066474
KV	60000000	70000000	IGKV1-37	1.0328733941807282
KV	360000000	370000000	IGKV1D-37	1.0328733941807282
KV	610000000	620000000	IGKV3/OR2-268	1.0042131456630556
KV	470000000	480000000	IGKV2-40	0.9183990327921465
KV	560000000	570000000	IGKV2D-40	0.9172633681380912
KV	550000000	560000000	IGKV2D-30	0.8589758886651607
KV	650000000	660000000	IGKV3D-7	0.8412963904719776
KV	390000000	400000000	IGKV1D-43	0.7646952724414384
KV	670000000	680000000	IGKV5-2	0.7340387514100143
KV	600000000	610000000	IGKV3-7	0.6854429040609137
KV	490000000	500000000	IGKV2/OR22-4	0.454925405039298
KV	340000000	350000000	IGKV1D-17	0.28071446445859843
KV	520000000	530000000	IGKV2D-26	0.23570808457454484
KV	410000000	420000000	IGKV2-18	0.14120099285773063
KV	270000000	280000000	IGKV1/OR22-5	0.1274486886008402
KV	510000000	520000000	IGKV2D-24	0.07380638809397357
KV	210000000	220000000	IGKV1/OR2-108	0.06205900161597739
KV	460000000	470000000	IGKV2-4	0.06114738951319654
KV	700000000	710000000	IGKV6D-41	0.05385728388808295
KV	300000000	310000000	IGKV1/ORY-1	0.04829416647693056
KV	710000000	720000000	IGKV7-3	0.030142886680920203
KV	380000000	390000000	IGKV1D-42	0.02871247376299749
KV	140000000	150000000	IGKV1/OR-3	0.021779563416762293
KV	500000000	510000000	IGKV2D-18	0.01870868520128905
KV	200000000	210000000	IGKV1/OR2-1	0.015422427015246164
KV	240000000	250000000	IGKV1/OR2-2	0.013491192706732174
KV	250000000	260000000	IGKV1/OR2-3	0.01287893194135716
KV	150000000	160000000	IGKV1/OR-4	0.010241387159369262
KV	480000000	490000000	IGKV2/OR2-7D	0.008727279460715697
KV	130000000	140000000	IGKV1/OR-2	0.008002448404909377
KV	160000000	170000000	IGKV1/OR1-1	0.006098356584093108
KV	190000000	200000000	IGKV1/OR2-0	0.006098356584093108
KV	280000000	290000000	IGKV1/OR9-1	0.004154591938879808
KV	290000000	300000000	IGKV1/OR9-2	0.004154591938879808
KV	170000000	180000000	IGKV1/OR10-1	0.002078791488912592
KJ	0	10000000	IGKJ1	8.267929558777052
KJ	30000000	40000000	IGKJ4	7.899435017948196
KJ	10000000	20000000	IGKJ2	7.726681013430302
KJ	20000000	30000000	IGKJ3	7.098448514374616
KJ	40000000	50000000	IGKJ5	6.757623155335809
LV	110000000	120000000	IGLV2-14	7.659190850854225
LV	100000000	110000000	IGLV2-11	6.341321740670314
LV	130000000	140000000	IGLV2-23	6.250815012444672
LV	170000000	180000000	IGLV2-8	6.250599186972162
LV	190000000	200000000	IGLV3-1	6.1410641351704145
LV	10000000	20000000	IGLV1-40	5.9733024641064585
LV	250000000	260000000	IGLV3-21	5.775255736979733
LV	270000000	280000000	IGLV3-25	5.568224076578557
LV	30000000	40000000	IGLV1-44	5.519400234324046
LV	40000000	50000000	IGLV1-47	5.319211207836308
LV	400000000	410000000	IGLV6-57	4.8058043885963055
LV	60000000	70000000	IGLV1-51	4.774592335054335
LV	200000000	210000000	IGLV3-10	4.724594304434139
LV	420000000	430000000	IGLV7-46	4.607740068046762
LV	240000000	250000000	IGLV3-19	4.574112198904142
LV	410000000	420000000	IGLV7-43	4.41839509459209
LV	340000000	350000000	IGLV4-69	4.348140850811513
LV	430000000	440000000	IGLV8-61	4.11493675095999
LV	120000000	130000000	IGLV2-18	4.058290553996237
LV	280000000	290000000	IGLV3-27	3.4967760869779734
LV	310000000	320000000	IGLV3-9	3.4467698245298304
LV	80000000	90000000	IGLV10-54	2.871406899519516
LV	0	10000000	IGLV1-36	2.800093081558002
LV	230000000	240000000	IGLV3-16	2.385987578215796
LV	370000000	380000000	IGLV5-45	2.284843658447406
LV	450000000	460000000	IGLV9-49	2.1870893233777386
LV	50000000	60000000	IGLV1-50	2.1145415776901832
LV	330000000	340000000	IGLV4-60	2.060956384802813
LV	350000000	360000000	IGLV5-37	1.5146784696301094
LV	160000000	170000000	IGLV2-5	1.0389076760879568
LV	390000000	400000000	IGLV5-52	0.7677650211852638
LV	360000000	370000000	IGLV5-39	0.6224038034573761
LV	260000000	270000000	IGLV3-22	0.4347852814629366
LV	320000000	330000000	IGLV4-3	0.38351090618137484
LV	210000000	220000000	IGLV3-12	0.37356664790624783
LV	380000000	390000000	IGLV5-48	0.18684172066174057
LV	150000000	160000000	IGLV2-34	0.13675443521211755
LV	180000000	190000000	IGLV2-NL1	0.13266221831753333
LV	20000000	30000000	IGLV1-41	0.06778824442197902
LV	300000000	310000000	IGLV3-32	0.013185021774304006
LV	290000000	300000000	IGLV3-31	0.011414388153061518
LJ	20000000	30000000	IGLJ3	9.097075065666838
LJ	0	10000000	IGLJ1	7.981032836500301
LJ	10000000	20000000	IGLJ2	7.60089679451911
LJ	60000000	70000000	IGLJ7	3.013489442955123
LJ	50000000	60000000	IGLJ6	0.9470418869171895
LJ	40000000	50000000	IGLJ5	0.3507379255269975
LJ	30000000	40000000	IGLJ4	0.04918603754319438
