gene	IgL.C13	IgL.C15	IgL.C16	IgL.C20	IgL.C25	IgL.C26	IgL.C27	IgL.C28	IgL.C29	IgL.C32	IgL.C35	IgL.C37	IgL.C40	IgL.C41	IgL.C42	IgL.C43	IgL.C44	IgL.C46	IgL.C47	IgL.C48	IgL.C49	IgL.C50	IgL.C51	IgL.C52	IgL.CC	average	median
IGLV2-14:IGLJ3	0.0836938930541335	0.08924978113132703	0.0849974952952167	0.1194904815594471	0.06801955566314408	0.09322943474218862	0.11673631608554076	0.09311152322876723	0.09284716893815403	0.09534484450112828	0.0976224987674011	0.09190117622021411	0.09579667599331555	0.09253253428448817	0.10055049874498607	0.08867163065272089	0.08503973829389704	0.10515090245586352	0.09592832446582017	0.09760151068060367	0.0865317105624885	0.09588447484306185	0.11038342540710615	0.0927218403450842	0.09844828043715644	0.09485942865413019	0.093229434742188616
IGLV2-14:IGLJ1	0.053654589292202015	0.052270988981225945	0.06413398139748987	0.0529852253990185	0.05470220794493794	0.07016745867397627	0.04703597686424198	0.06435845854026527	0.09539245010106999	0.08750122633179633	0.07044807323926967	0.08272792340966334	0.06632045803053842	0.07558033487934665	0.059756917396732584	0.07085175989446929	0.08496390587511665	0.0773375086300424	0.07216290894607828	0.08795632327159131	0.07073136084031434	0.08428628314438305	0.05914946168045035	0.07227059236074812	0.040867160524688806	0.068704541425986296	0.070448073239269673
IGLV2-11:IGLJ3	0.046025035505499225	0.03496176712373185	0.04474621248019929	0.040645902714868225	0.06198242345632771	0.04309158158074286	0.04788698043216295	0.054231234676557494	0.032694992978189306	0.04073383694692436	0.030942944819986697	0.036670926370040074	0.038587824822957334	0.03794673687162678	0.041266656944311045	0.03487292255642287	0.03308189269291452	0.04593648288785876	0.030578836143817477	0.03495003372537673	0.03718072010882064	0.04256652300196762	0.03511886384686631	0.03895103354507854	0.034697655178776154	0.040014000856480998	0.038587824822957334
IGLV2-23:IGLJ3	0.0592528982395878	0.040197449107073034	0.04535546499505828	0.043296250192801915	0.03533791420435307	0.03946470679769698	0.03583656010983059	0.03314185578676054	0.0321540831678884	0.04963210046110074	0.04237310967839278	0.0368315436221399	0.033281821110039495	0.037494952349121376	0.03397489023816216	0.03801341226730514	0.034998767723194824	0.04148584673044679	0.04022151969216781	0.031447731072899526	0.03517150387688799	0.03712639370373842	0.0322832981898362	0.05096354271903765	0.030119040267755644	0.038778266252131079	0.037126393703738422
IGLV2-14:IGLJ2	0.03865970868976453	0.03641803058248628	0.03158635815924506	0.04902599730185933	0.02491727771298842	0.03067482214747693	0.044170232183669944	0.03202403030112527	0.03971780534859633	0.04198469537918176	0.036772530963151376	0.03924381397711412	0.029583586076649827	0.03608213727290846	0.0393992532756632	0.03282871422314303	0.04098110298253113	0.041350231778281864	0.03460557362830861	0.04768254620511791	0.028355396217236543	0.04001920734563856	0.042438236124887556	0.03358353419361064	0.024988945605434888	0.036683750707042863	0.036772530963151376
IGLV2-8:IGLJ3	0.027050236152855307	0.025987674689626105	0.029717983780344154	0.025254335599163194	0.018605358670424267	0.02246028991058497	0.04692976532494831	0.02749379204123968	0.026153991012883675	0.03261061512802903	0.033219548074047534	0.034572863514486185	0.03945824068627498	0.03504203124851735	0.04627604138877924	0.0332930442969606	0.03052254855907872	0.03757767038169445	0.03492197418223887	0.03198301160179992	0.035249174494195665	0.04300571535650712	0.05242621507820251	0.040600064918389266	0.05445420802299806	0.03459465576457077	0.033293044296960603
IGLV3-1:IGLJ3	0.03646332199359251	0.02941137201570896	0.04230920242076331	0.043795905864871365	0.03292535121192442	0.03207928851010856	0.03725271396707967	0.032414974539510893	0.03371671150875772	0.020249190621014424	0.03406822265988087	0.031109554016083812	0.031136753023054783	0.029384444906010904	0.03179921675754698	0.028900212063333854	0.03172322852310045	0.03188184239076832	0.030067878727532603	0.028710501095567834	0.03145660000960665	0.031938068022111875	0.029330040135844396	0.03249830208429744	0.0429280022260066	0.032702035971763167	0.031881842390768321
IGLV1-40:IGLJ3	0.029775076790963445	0.030498562810063957	0.03692747187284223	0.026851061333819953	0.023823037277778413	0.03116957734340399	0.03101770323446917	0.02784740994530709	0.03212403262287167	0.028725595997253016	0.029946088957261828	0.03446745844279567	0.040910004414022476	0.03771899951605814	0.03524946734533452	0.033793981306058395	0.03162843799962506	0.03439688332182661	0.024735579537072575	0.03132607640724033	0.032100448547814964	0.03390564977044881	0.035603318597150414	0.037197715602704684	0.04037054975370336	0.032484407549915634	0.032100448547814964
IGLV3-21:IGLJ3	0.02531624665587741	0.03315931922782751	0.033407346231434716	0.04083055807193738	0.03223020594291957	0.03160049315921142	0.024782692501858695	0.02261190042119821	0.02890862430608283	0.02010203080545473	0.0285922509274801	0.0328914016565662	0.03455509681942612	0.030791988284178264	0.031004829165169775	0.025021161377499716	0.02290770983988828	0.021858664562580135	0.024958304564683925	0.03181945366241369	0.0351817236949548	0.031681579687060805	0.02880452989824807	0.018478276455873098	0.02378895790600629	0.028611413833033273	0.02890862430608283
IGLV3-25:IGLJ3	0.01917296958086997	0.025148439690474877	0.03462585126115269	0.02782864851830369	0.025540455001202184	0.0308663402878358	0.01683649585840559	0.030322735273778822	0.027045490515046303	0.021603060924163645	0.029784436655198337	0.022667109702587035	0.02904903969775417	0.028435539257808177	0.025236626722012944	0.031019560947978343	0.024993101356347077	0.02174770687444521	0.03232788268417721	0.02147880708138291	0.038135251116259636	0.026123161248008998	0.0283173381154765	0.030256140849440172	0.02154769955755143	0.026804395551106471	0.027045490515046303
